Year;Site;Var;Ridge;Plant;Emergence_Date;PlantNb
2021;Godet;Toki;2;2;30/06/2021;20
2021;Godet;Toki;2;3;14/07/2021;20
2021;Godet;Toki;2;4;04/07/2021;20
2021;Godet;Toki;2;5;06/07/2021;20
2021;Godet;Toki;2;6;20/07/2021;20
2021;Godet;Toki;2;7;08/07/2021;20
2021;Godet;Toki;2;8;04/07/2021;20
2021;Godet;Toki;2;9;04/07/2021;20
2021;Godet;Toki;2;10;06/07/2021;20
2021;Godet;Gordito;3;1;22/06/2021;20
2021;Godet;Gordito;3;2;30/06/2021;20
2021;Godet;Gordito;3;3;30/06/2021;20
2021;Godet;Gordito;3;4;16/06/2021;20
2021;Godet;Gordito;3;5;17/06/2021;20
2021;Godet;Gordito;3;6;25/06/2021;20
2021;Godet;Gordito;3;7;20/06/2021;20
2021;Godet;Gordito;3;8;20/06/2021;20
2021;Godet;Gordito;3;9;15/06/2021;20
2021;Godet;Gordito;3;10;23/06/2021;20
2021;Godet;Gordito;4;1;27/06/2021;20
2021;Godet;Gordito;4;2;13/06/2021;20
2021;Godet;Gordito;4;3;15/06/2021;20
2021;Godet;Gordito;4;4;21/06/2021;20
2021;Godet;Gordito;4;5;18/06/2021;20
2021;Godet;Gordito;4;6;17/06/2021;20
2021;Godet;Gordito;4;7;10/06/2021;20
2021;Godet;Gordito;4;8;12/06/2021;20
2021;Godet;Gordito;4;9;05/06/2021;20
2021;Godet;Gordito;4;10;21/06/2021;20
2021;Godet;H2X74F;12;1;22/06/2021;20
2021;Godet;H2X74F;12;2;27/06/2021;20
2021;Godet;H2X74F;12;3;03/07/2021;20
2021;Godet;H2X74F;12;4;22/06/2021;20
2021;Godet;H2X74F;12;5;20/06/2021;20
2021;Godet;H2X74F;12;6;30/06/2021;20
2021;Godet;H2X74F;12;7;07/07/2021;20
2021;Godet;H2X74F;12;8;28/06/2021;20
2021;Godet;H2X74F;12;9;08/07/2021;20
2021;Godet;H2X74F;12;10;27/06/2021;20
2021;Godet;H2X74F;13;1;27/06/2021;20
2021;Godet;H2X74F;13;2;22/06/2021;20
2021;Godet;H2X74F;13;3;12/07/2021;20
2021;Godet;H2X74F;13;4;04/07/2021;20
2021;Godet;H2X74F;13;5;22/06/2021;20
2021;Godet;H2X74F;13;6;26/06/2021;20
2021;Godet;H2X74F;13;7;24/06/2021;20
2021;Godet;H2X74F;13;8;24/06/2021;20
2021;Godet;H2X74F;13;9;23/06/2021;20
2021;Godet;H2X74F;13;10;08/07/2021;20
2021;Godet;Wassa;9;1;08/06/2021;20
2021;Godet;Wassa;9;2;18/06/2021;20
2021;Godet;Wassa;9;3;15/06/2021;20
2021;Godet;Wassa;9;4;13/06/2021;20
2021;Godet;Wassa;9;5;20/06/2021;20
2021;Godet;Wassa;9;6;05/06/2021;20
2021;Godet;Wassa;9;7;10/06/2021;20
2021;Godet;Wassa;9;8;20/06/2021;20
2021;Godet;Wassa;9;9;26/06/2021;20
2021;Godet;Wassa;9;10;01/06/2021;20
2021;Godet;Wassa;10;1;10/06/2021;20
2021;Godet;Wassa;10;2;03/06/2021;20
2021;Godet;Wassa;10;3;03/06/2021;20
2021;Godet;Wassa;10;4;10/06/2021;20
2021;Godet;Wassa;10;5;10/06/2021;20
2021;Godet;Wassa;10;6;10/06/2021;20
2021;Godet;Wassa;10;7;18/06/2021;20
2021;Godet;Wassa;10;8;08/06/2021;20
2021;Godet;Wassa;10;9;04/06/2021;20
2021;Godet;Wassa;10;10;16/06/2021;20
2021;Godet;Noulelcae;3;1;12/06/2021;20
2021;Godet;Noulelcae;3;2;17/06/2021;20
2021;Godet;Noulelcae;3;3;19/06/2021;20
2021;Godet;Noulelcae;3;4;17/06/2021;20
2021;Godet;Noulelcae;3;5;11/06/2021;20
2021;Godet;Noulelcae;3;6;08/06/2021;20
2021;Godet;Noulelcae;3;7;05/06/2021;20
2021;Godet;Noulelcae;3;8;19/06/2021;20
2021;Godet;Noulelcae;3;9;14/06/2021;20
2021;Godet;Noulelcae;3;10;12/06/2021;20
2021;Godet;Noulelcae;4;1;16/06/2021;20
2021;Godet;Noulelcae;4;2;07/06/2021;20
2021;Godet;Noulelcae;4;3;05/06/2021;20
2021;Godet;Noulelcae;4;4;05/06/2021;20
2021;Godet;Noulelcae;4;5;08/06/2021;20
2021;Godet;Noulelcae;4;6;13/06/2021;20
2021;Godet;Noulelcae;4;7;19/06/2021;20
2021;Godet;Noulelcae;4;8;05/06/2021;20
2021;Godet;Noulelcae;4;9;18/06/2021;20
2021;Godet;Noulelcae;4;10;10/06/2021;20
2021;Godet;Florido;11;1;08/06/2021;20
2021;Godet;Florido;11;2;05/06/2021;20
2021;Godet;Florido;11;3;11/06/2021;20
2021;Godet;Florido;11;4;17/06/2021;20
2021;Godet;Florido;11;5;29/05/2021;20
